
========== fold: 0 training ==========
Train Mean Loss : 0.23844420,	Train Accuracy: 90.46,	Time : 381.78 sec	 LR : 0.00006844
Train Epoch: 28 [0/3825(0%)]	Loss: 0.18669416
Train Epoch: 28 [320/3825(8%)]	Loss: 0.06671218
Train Epoch: 28 [640/3825(17%)]	Loss: 0.10189969
Train Epoch: 28 [960/3825(25%)]	Loss: 0.27528051
Train Epoch: 28 [1280/3825(33%)]	Loss: 0.32508060
Train Epoch: 28 [1600/3825(42%)]	Loss: 0.22152008
Train Epoch: 28 [1920/3825(50%)]	Loss: 0.10523970
Train Epoch: 28 [2240/3825(58%)]	Loss: 0.29789874
Train Epoch: 28 [2560/3825(67%)]	Loss: 0.08812137
Train Epoch: 28 [2880/3825(75%)]	Loss: 0.18379985
Train Epoch: 28 [3200/3825(83%)]	Loss: 0.19773829
Train Epoch: 28 [3520/3825(92%)]	Loss: 0.29477665
Train Mean Loss : 0.20364905,	Train Accuracy: 92.92,	Time : 376.61 sec	 LR : 0.00006247
Train Epoch: 29 [0/3825(0%)]	Loss: 0.10248978
Train Epoch: 29 [320/3825(8%)]	Loss: 0.11241284
Train Epoch: 29 [640/3825(17%)]	Loss: 0.32163271
Train Epoch: 29 [960/3825(25%)]	Loss: 0.16198251
Train Epoch: 29 [1280/3825(33%)]	Loss: 0.35436431
Train Epoch: 29 [1600/3825(42%)]	Loss: 0.46161181
Train Epoch: 29 [1920/3825(50%)]	Loss: 0.28162467
Train Epoch: 29 [2240/3825(58%)]	Loss: 0.21943544
Train Epoch: 29 [2560/3825(67%)]	Loss: 0.23076107
Train Epoch: 29 [2880/3825(75%)]	Loss: 0.40852866
Train Epoch: 29 [3200/3825(83%)]	Loss: 0.14249864
Train Epoch: 29 [3520/3825(92%)]	Loss: 0.17749044
Train Mean Loss : 0.25921574,	Train Accuracy: 90.17,	Time : 382.62 sec	 LR : 0.00001156
Train Epoch: 30 [0/3825(0%)]	Loss: 0.11006531
Train Epoch: 30 [320/3825(8%)]	Loss: 0.11578671
Train Epoch: 30 [640/3825(17%)]	Loss: 0.15927134
Train Epoch: 30 [960/3825(25%)]	Loss: 0.23062937
Train Epoch: 30 [1280/3825(33%)]	Loss: 0.49677730
Train Epoch: 30 [1600/3825(42%)]	Loss: 0.27781108
Train Epoch: 30 [1920/3825(50%)]	Loss: 0.09889241
Train Epoch: 30 [2240/3825(58%)]	Loss: 0.11117995
Train Epoch: 30 [2560/3825(67%)]	Loss: 0.39623401
Train Epoch: 30 [2880/3825(75%)]	Loss: 0.15613322
Train Epoch: 30 [3200/3825(83%)]	Loss: 0.04007564
Train Epoch: 30 [3520/3825(92%)]	Loss: 0.28181762
Train Mean Loss : 0.18212694,	Train Accuracy: 93.31,	Time : 381.06 sec	 LR : 0.00009990

========== Validation ==========
Average loss: 1.36496606, Accuracy: 2885/3826 (75.41%)
Train Epoch: 31 [0/3825(0%)]	Loss: 0.21216638
Train Epoch: 31 [320/3825(8%)]	Loss: 0.20732665
Train Epoch: 31 [640/3825(17%)]	Loss: 0.31229812
Train Epoch: 31 [960/3825(25%)]	Loss: 0.35211030
Train Epoch: 31 [1280/3825(33%)]	Loss: 0.23901273
Train Epoch: 31 [1600/3825(42%)]	Loss: 0.51090062
Train Epoch: 31 [1920/3825(50%)]	Loss: 0.20250721
Train Epoch: 31 [2240/3825(58%)]	Loss: 0.13276976
Train Epoch: 31 [2560/3825(67%)]	Loss: 0.11573335
Train Epoch: 31 [2880/3825(75%)]	Loss: 0.12424336
Train Epoch: 31 [3200/3825(83%)]	Loss: 0.30889052
